,#,Code,District,Headquarters,Population,Area,Density
269,21,ML,Malkangiri,Malkangiri,612727.0,5791.0,106.0
270,22,MY,Mayurbhanj,Baripada,2513895.0,10418.0,241.0
271,23,NB,Nabarangpur,Nabarangpur,1218762.0,5294.0,230.0
272,24,NU,Nuapada,Nuapada,606490.0,3408.0,157.0
273,25,NY,Nayagarh,Nayagarh,962215.0,3890.0,247.0
274,26,PU,Puri,Puri,1697983.0,3051.0,488.0
275,27,RA,Rayagada,Rayagada,961959.0,7584.7,136.0
276,28,SA,Sambalpur,Sambalpur,1044410.0,6702.0,158.0
277,29,SO,Subarnapur,Subarnapur,652107.0,2284.0,279.0
278,30,SU,Sundargarh,Sundergarh,2080664.0,9712.0,214.0
279,1,AM,Amritsar,Amritsar,2490891.0,2673.0,932.0
280,2,BNL,Barnala,Barnala,596294.0,1423.0,419.0
281,3,BA,Bathinda,Bathinda,1388859.0,3355.0,414.0
282,4,FI,Firozpur,Firozpur,2026831.0,5334.0,380.0
283,5,FR,Faridkot,Faridkot,618008.0,1472.0,424.0
284,6,FT,Fatehgarh Sahib,Fatehgarh Sahib,599814.0,1180.0,508.0
285,7,FA,Fazilka,Fazilka,1180483.0,3113.0,379.0
286,8,GU,Gurdaspur,Gurdaspur,2299026.0,3542.0,649.0
287,9,HO,Hoshiarpur,Hoshiarpur,1582793.0,3397.0,466.0
288,10,JA,Jalandhar,Jalandhar,2181753.0,2625.0,831.0
289,11,KA,Kapurthala,Kapurthala,817668.0,1646.0,501.0
290,12,LU,Ludhiana,Ludhiana,3487882.0,3744.0,975.0
291,13,ML,Malerkotla,Malerkotla,429754.0,684.0,629.0
292,14,MA,Mansa,Mansa,768808.0,2174.0,350.0
293,15,MO,Moga,Moga,992289.0,2235.0,444.0
294,16,MU,Sri Muktsar Sahib,Sri Muktsar Sahib,902702.0,2596.0,348.0
295,17,PA,Pathankot,Pathankot,626154.0,929.0,674.0
296,18,PA,Patiala,Patiala,2892282.0,3175.0,596.0
297,19,RU,Rupnagar,Rupnagar,683349.0,1400.0,488.0
298,20,SAS,Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar,986147.0,1188.0,830.0
299,21,SA,Sangrur,Sangrur,1654408.0,3685.0,449.0
300,22,PB,Shahid Bhagat Singh Nagar,Nawanshahr,614362.0,1283.0,479.0
301,23,TT,Tarn Taran,Tarn Taran Sahib,1120070.0,2414.0,464.0
302,1,AN,Anupgarh,Anupgarh,869696.0,8872.0,98.0
303,2,AJ,Ajmer,Ajmer,2584913.0,8481.0,305.0
304,3,AL,Alwar,Alwar,3671999.0,8380.0,438.0
305,4,BA,Balotra,Balotra,970760.0,19000.0,51.0
306,5,BE,Beawar,Beawar,,,
307,6,BI,Bikaner,Bikaner,2367745.0,27244.0,78.0
308,7,BM,Barmer,Barmer,2604453.0,28387.0,92.0
309,8,BN,Banswara,Banswara,1798194.0,5037.0,399.0
310,9,BP,Bharatpur,Bharatpur,2549121.0,5066.0,503.0
311,10,BR,Baran,Baran,1223921.0,6955.0,175.0
312,11,BU,Bundi,Bundi,1113725.0,5550.0,193.0
313,12,BW,Bhilwara,Bhilwara,2410459.0,10455.0,230.0
314,13,CR,Churu,Churu,2041172.0,16830.0,148.0
315,14,CT,Chittorgarh,Chittorgarh,1544392.0,10856.0,193.0
316,15,DA,Dausa,Dausa,1637226.0,3429.0,476.0
317,16,-,Deeg,Deeg,1072755.0,,
318,17,DK,Didwana Kuchaman,Didwana,1625837.0,,239.0
319,18,DH,Dholpur,Dholpur,1207293.0,3084.0,398.0
320,19,-,Dudu,Dudu,312857.0,,
321,20,DU,Dungarpur,Dungarpur,1388906.0,3771.0,368.0
322,21,GC,Gangapur city,Gangapur City,,,
323,22,GA,Sri Ganganagar,Sri Ganganagar,1969520.0,10990.0,179.0
324,23,HA,Hanumangarh,Hanumangarh,1779650.0,9670.0,184.0
325,24,-,Jaipur Gramin,Jaipur,,,
326,25,JJ,Jhunjhunu,Jhunjhunu,2139658.0,5928.0,361.0
327,26,JL,Jalore,Jalore,1830151.0,10640.0,172.0
328,27,JO,Jodhpur,Jodhpur,3685681.0,22850.0,161.0
329,28,-,Jodhpur Gramin,Jodhpur,,,
330,29,JP,Jaipur,Jaipur,6626178.0,11143.0,595.0
331,30,JS,Jaisalmer,Jaisalmer,672008.0,38401.0,17.0
332,31,JW,Jhalawar,Jhalawar,1411327.0,6219.0,227.0
333,32,KA,Karauli,Karauli,1458459.0,5530.0,264.0
334,33,KE,Kekri,Kekri,,,
335,34,KT,Khairthal-Tijara,Khairthal,966821.0,,
336,35,KP,Kotputli-Behror,Kotputli,,,
337,36,KO,Kota,Kota,1950491.0,5446.0,374.0
338,37,TO,Tonk,Tonk,1421711.0,7194.0,198.0
339,38,UD,Udaipur,Udaipur,3067549.0,13430.0,242.0
340,39,,Nagaur,Nagaur,3309234.0,17718.0,187.0
341,40,NT,Neem Ka Thana,Neem Ka Thana,,,
342,41,PA,Pali,Pali,2038533.0,12387.0,165.0
343,42,PH,Phalodi,Phalodi,,,
344,43,PG,Pratapgarh,Pratapgarh,867848.0,4112.0,211.0
345,44,RA,Rajsamand,Rajsamand,1158283.0,3853.0,302.0
346,45,SA,Sanchore,Sanchore,845457.0,2996.0,280.0
347,46,-,Salumbar,Salumbar,,,
348,47,SK,Sikar,Sikar,2677737.0,7732.0,346.0
349,48,-,Shahpura,Shahpura,,,
350,49,SM,Sawai Madhopur,Sawai Madhopur,1338114.0,4500.0,257.0
351,50,SR,Sirohi,Sirohi,1037185.0,5136.0,202.0
352,1,ES,Gangtok,Gangtok,281293.0,954.0,295.0
353,2,NS,Mangan,Mangan,43354.0,4226.0,10.0
354,3,PS,Pakyong,Pakyong,74583.0,404.0,180.0
355,4,,Soreng,Soreng,64760.0,293.0,221.0
356,5,SS,Namchi,Namchi,146742.0,750.0,196.0
357,6,WS,Gyalshing,Gyalshing,136299.0,1166.0,117.0
358,1,AY,Ariyalur,Ariyalur,752481.0,3208.0,387.0
359,2,CGL,Chengalpattu,Chengalpattu,2556244.0,2945.0,868.0
360,3,CH,Chennai,Chennai,7139882.0,426.0,17000.0
361,4,CO,Coimbatore,Coimbatore,3472578.0,4723.0,748.0
362,5,CU,Cuddalore,Cuddalore,2600880.0,3999.0,702.0
363,6,DH,Dharmapuri,Dharmapuri,1502900.0,4532.0,332.0
364,7,DGL,Dindigul,Dindigul,2161367.0,6058.0,357.0
365,8,ER,Erode,Erode,2259608.0,5714.0,397.0
366,9,KL,Kallakurichi,Kallakurichi,1682687.0,3520.0,478.0
367,10,KC,Kanchipuram,Kanchipuram,1166401.0,1656.0,704.0
368,11,KK,Kanyakumari,Nagercoil,1863178.0,1685.0,1106.0
369,12,KA,Karur,Karur,1076588.0,2901.0,371.0
370,13,KR,Krishnagiri,Krishnagiri,1883731.0,5086.0,370.0
371,14,MDU,Madurai,Madurai,3191038.0,3676.0,823.0
372,15,MLD,Mayiladuthurai,Mayiladuthurai,918356.0,1172.0,784.0
373,16,NG,Nagapattinam,Nagapattinam,1614069.0,2716.0,668.0
374,17,NI,Nilgiris,Ooty,735071.0,2549.0,288.0
375,18,NM,Namakkal,Namakkal,1721179.0,3429.0,506.0
376,19,PE,Perambalur,Perambalur,564511.0,1752.0,323.0
377,20,PU,Pudukkottai,Pudukkottai,1918725.0,4651.0,348.0
378,21,RA,Ramanathapuram,Ramanathapuram,1337560.0,4123.0,320.0
379,22,RN,Ranipet,Ranipettai,1210277.0,2234.0,524.0
380,23,SA,Salem,Salem,3480008.0,5245.0,663.0
381,24,SVG,Sivaganga,Sivagangai,1341250.0,4086.0,324.0
382,25,TS,Tenkasi,Tenkasi,1407627.0,2916.0,483.0
383,26,TP,Tiruppur,Tiruppur,2471222.0,5106.0,476.0
384,27,TC,Tiruchirappalli,Tiruchirappalli,2713858.0,4407.0,602.0
385,28,TH,Theni,Theni,1243684.0,3066.0,433.0
386,29,TI,Tirunelveli,Tirunelveli,1665253.0,3842.0,433.0
387,30,TJ,Thanjavur,Thanjavur,2402781.0,3397.0,691.0
388,31,TK,Thoothukudi,Thoothukudi,1738376.0,4594.0,378.0
389,32,TP,Tirupattur,Tirupattur,1111812.0,1798.0,618.0
390,33,TL,Tiruvallur,Tiruvallur,3725697.0,3424.0,1049.0
391,34,TR,Tiruvarur,Thiruvarur,1268094.0,2377.0,533.0
392,35,TV,Tiruvannamalai,Tiruvannaamalai,2468965.0,6191.0,399.0
393,36,VE,Vellore,Vellore,1614242.0,2080.0,776.0
394,37,VL,Viluppuram,Viluppuram,2093003.0,3725.0,562.0
395,38,VNR,Virudhunagar,Virudhunagar,1943309.0,3446.0,454.0
396,1,AD,Adilabad,Adilabad,708952.0,4185.97,171.0
397,2,BK,Bhadradri Kothagudem,Kothagudem,1304811.0,8951.0,143.0
398,3,–,Hanamkonda,Hanamkonda,1135707.0,1304.5,826.0
399,4,HY,Hyderabad,Hyderabad,3943323.0,217.0,18172.0
400,5,–,Jagtial,Jagtial,983414.0,3043.23,407.0
401,6,–,Jangaon,Jangaon,582457.0,2187.5,259.0
402,7,–,Jayashankar Bhupalpally,Bhupalpally,712257.0,6361.7,115.0
403,8,–,Jogulamba Gadwal,Gadwal,664971.0,2928.0,208.0
404,9,–,Kamareddy,Kamareddy,972625.0,3651.0,266.0
405,10,KA,Karimnagar,Karimnagar,1016063.0,2379.07,473.0
406,11,KH,Khammam,Khammam,1401639.0,4453.0,321.0
407,12,–,Kumuram Bheem Asifabad,Asifabad,515835.0,4300.16,106.0
408,13,–,Mahabubabad,Mahabubabad,770170.0,2876.7,269.0
409,14,MA,Mahbubnagar,Mahbubnagar,1318110.0,4037.0,281.0
410,15,–,Mancherial,Mancherial,807037.0,4056.36,201.0
411,16,ME,Medak,Medak,767428.0,2740.89,275.0
412,17,–,Medchal–Malkajgiri,Shamirpet,2542203.0,5005.98,2251.0
413,18,–,Mulugu,Mulugu,294671.0,3881.0,124.0
414,19,,Nalgonda,Nalgonda,1631399.0,2449.79,227.0
415,20,–,Narayanpet,Narayanpet,566874.0,2336.44,243.0
416,21,–,Nagarkurnool,Nagarkurnool,893308.0,6545.0,124.0
417,22,–,Nirmal,Nirmal,709415.0,3562.51,185.0
418,23,NI,Nizamabad,Nizamabad,1534428.0,4153.0,366.0
419,24,–,Peddapalli,Peddapalli,795332.0,4614.74,356.0
420,25,–,Rajanna Sircilla,Sircilla,546121.0,2030.89,273.0
421,26,RA,Ranga Reddy,Hyderabad,2551731.0,5031.0,486.0
422,27,–,Sangareddy,Sangareddy,1527628.0,4464.87,347.0
423,28,–,Siddipet,Siddipet,993376.0,3425.19,279.0
424,29,–,Suryapet,Suryapet,1099560.0,3374.47,305.0
425,30,–,Vikarabad,Vikarabad,881250.0,3385.0,274.0
426,31,–,Wanaparthy,Wanaparthy,751553.0,2938.0,268.0
427,32,WL,Warangal,Warangal,716457.0,2175.5,330.0
428,33,–,Yadadri Bhuvanagiri,Bhongir,726465.0,3091.48,239.0
429,1,DH,Dhalai,Ambassa,377988.0,2400.0,157.0
430,2,GM,Gomati,Udaipur,436868.0,1522.8,287.0
431,3,KH,Khowai,Khowai,327391.0,1005.67,326.0
432,4,NT,North Tripura,Dharmanagar,415946.0,1444.5,288.0
433,5,SP,Sepahijala,Bishramganj,484233.0,1044.78,463.0
434,6,ST,South Tripura,Belonia,433737.0,1534.2,283.0
435,7,UK,Unakoti,Kailashahar,277335.0,591.93,469.0
436,8,WT,West Tripura,Agartala,917534.0,942.55,973.0
437,1,AG,Agra,Agra,4380793.0,4027.0,1084.0
438,2,AL,Aligarh,Aligarh,3673849.0,3747.0,1007.0
439,3,AN,Ambedkar Nagar,Akbarpur,2398709.0,2372.0,1021.0
440,4,AM,Amethi,Gauriganj,2549935.0,3063.0,830.0
441,5,JP,Amroha,Amroha,1838771.0,2321.0,818.0
442,6,AU,Auraiya,Auraiya,1372287.0,2051.0,681.0
443,7,FZ,Ayodhya,Ayodhya,2468371.0,2765.0,1054.0
444,8,AZ,Azamgarh,Azamgarh,4616509.0,4053.0,1139.0
445,9,BG,Bagpat,Baghpat,1302156.0,1345.0,986.0
446,10,BH,Bahraich,Bahraich,2384239.0,4926.0,415.0
447,11,BL,Ballia,Ballia,3223642.0,2981.0,1081.0
448,12,BP,Balrampur,Balrampur,2149066.0,3349.0,642.0
449,13,BN,Banda,Banda,1799541.0,4413.0,404.0
450,14,BB,Barabanki,Barabanki,3257983.0,3825.0,739.0
451,15,BR,Bareilly,Bareilly,4465344.0,4120.0,1084.0
452,16,BS,Basti,Basti,2461056.0,2687.0,916.0
453,17,BH,Bhadohi,Gyanpur,1554203.0,960.0,1531.0
454,18,BI,Bijnor,Bijnor,3683896.0,4561.0,808.0
455,19,BD,Budaun,Budaun,3712738.0,5168.0,718.0
456,20,BU,Bulandshahr,Bulandshahr,3498507.0,3719.0,788.0
457,21,CD,Chandauli,Chandauli,1952713.0,2554.0,768.0
458,22,CT,Chitrakoot,Karwi,990626.0,3202.0,315.0
459,23,DE,Deoria,Deoria,3098637.0,2535.0,1220.0
460,24,ET,Etah,Etah,1761152.0,2456.0,717.0
461,25,EW,Etawah,Etawah,1579160.0,2287.0,683.0
462,26,FR,Farrukhabad,Fatehgarh,1887577.0,2279.0,865.0
463,27,FT,Fatehpur,Fatehpur,2632684.0,4152.0,634.0
464,28,FI,Firozabad,Firozabad,2496761.0,2361.0,1044.0
465,29,GB,Gautam Buddha Nagar,Noida,1674714.0,1269.0,1252.0
466,30,GZ,Ghaziabad,Ghaziabad,4661452.0,1175.0,3967.0
467,31,GP,Ghazipur,Ghazipur,3622727.0,3377.0,1072.0
468,32,GN,Gonda,Gonda,3431386.0,4425.0,857.0
469,33,GR,Gorakhpur,Gorakhpur,4436275.0,3325.0,1336.0
470,34,HM,Hamirpur,Hamirpur,1104021.0,4325.0,268.0
471,35,PN,Hapur,Hapur,1338211.0,660.0,2028.0
472,36,HR,Hardoi,Hardoi,4091380.0,5986.0,683.0
473,37,HT,Hathras,Hathras,1565678.0,1752.0,851.0
474,38,JL,Jalaun,Orai,1670718.0,4565.0,366.0
475,39,JU,Jaunpur,Jaunpur,4476072.0,4038.0,1108.0
476,40,JH,Jhansi,Jhansi,2000755.0,5024.0,398.0
477,41,KJ,Kannauj,Kannauj,1658005.0,1993.0,792.0
478,42,KD,Kanpur Dehat,Akbarpur,1795092.0,3021.0,594.0
479,43,KN,Kanpur Nagar,Kanpur,4572951.0,3156.0,1415.0
480,44,KR,Kasganj,Kasganj,1438156.0,1955.0,736.0
481,45,KS,Kaushambi,Manjhanpur,1596909.0,1837.0,897.0
482,46,KU,Kushinagar,Padrauna,3560830.0,2909.0,1226.0
483,47,LK,Lakhimpur Kheri,Lakhimpur,4013634.0,7674.0,523.0
484,48,LA,Lalitpur,Lalitpur,1218002.0,5039.0,242.0
485,49,LU,Lucknow,Lucknow,4588455.0,2528.0,1815.0
486,50,MG,Maharajganj,Maharajganj,2665292.0,2953.0,903.0
487,51,MH,Mahoba,Mahoba,876055.0,2847.0,288.0
488,52,MP,Mainpuri,Mainpuri,1847194.0,2760.0,670.0
489,53,MT,Mathura,Mathura,2541894.0,3333.0,761.0
490,54,MB,Mau,Mau,2205170.0,1713.0,1287.0
491,55,ME,Meerut,Meerut,3447405.0,2522.0,1342.0
492,56,MI,Mirzapur,Mirzapur,2494533.0,4522.0,561.0
493,57,MO,Moradabad,Moradabad,4773138.0,3718.0,1284.0
494,58,MU,Muzaffarnagar,Muzaffarnagar,4138605.0,4008.0,1033.0
495,59,PI,Pilibhit,Pilibhit,2037225.0,3499.0,567.0
496,60,PR,Pratapgarh,Pratapgarh,3173752.0,3717.0,854.0
497,61,AH,Prayagraj,Prayagraj,5959798.0,5481.0,1087.0
498,62,RB,Raebareli,Raebareli,3404004.0,4609.0,739.0
499,63,RA,Rampur,Rampur,2335398.0,2367.0,987.0
500,64,SA,Saharanpur,Saharanpur,3464228.0,3689.0,939.0
501,65,SM,Sambhal,Sambhal,2217020.0,2453.0,890.0
502,66,SK,Sant Kabir Nagar,Khalilabad,1714300.0,1442.0,1014.0
503,67,SJ,Shahjahanpur,Shahjahanpur,3002376.0,4575.0,673.0
504,68,SH,Shamli,Shamli,1274815.0,1063.0,1200.0
505,69,SV,Shravasti,Shravasti,1114615.0,1948.0,572.0
506,70,SN,Siddharthnagar,Naugarh,2553526.0,2751.0,882.0
507,71,SI,Sitapur,Sitapur,4474446.0,5743.0,779.0
508,72,SO,Sonbhadra,Robertsganj,1862612.0,6788.0,274.0
509,73,SU,Sultanpur,Sultanpur,3790922.0,4436.0,855.0
510,74,UN,Unnao,Unnao,3110595.0,4561.0,682.0
511,75,VA,Varanasi,Varanasi,3682194.0,1535.0,2399.0
512,1,AL,Almora,Almora,621927.0,3090.0,198.0
513,2,BA,Bageshwar,Bageshwar,259840.0,2310.0,116.0
514,3,CL,Chamoli,Gopeshwar,391114.0,7692.0,49.0
515,4,CP,Champawat,Champawat,259315.0,1781.0,147.0
516,5,DD,Dehradun,Dehradun,1698560.0,3088.0,550.0
517,6,HA,Haridwar,Haridwar,1927029.0,2360.0,817.0
518,7,,Nainital,Nainital,955128.0,3853.0,225.0
519,8,PG,Pauri Garhwal,Pauri,686527.0,5438.0,129.0
520,9,PI,Pithoragarh,Pithoragarh,485993.0,7110.0,69.0
521,10,RP,Rudraprayag,Rudraprayag,236857.0,1896.0,119.0
522,11,TG,Tehri Garhwal,New Tehri,616409.0,4085.0,169.0
523,12,US,Udham Singh Nagar,Rudrapur,1648367.0,2912.0,648.0
524,13,UT,Uttarkashi,Uttarkashi,329686.0,7951.0,41.0
525,1,AS,Alluri Sitharama Raju,Paderu,954000.0,12251.0,77.87
526,2,AK,Anakapalli,Anakapalli,1727000.0,4292.0,402.38
